    AMSTERDAM ROTTERDAM DEN+HAAG UTRECHT EINDHOVEN TILBURG GRONINGEN ALMERE+STAD BREDA NIJMEGEN ENSCHEDE HAARLEM ARNHEM ZAANSTAD AMERSFOORT APELDOORN DEN+BOSCH HOOFDDORP MAASTRICHT LEIDEN DORDRECHT ZOETERMEER ZWOLLE DEVENTER DELFT ALKMAAR HEERLEN VENLO LEEUWARDEN HILVERSUM HENGELO AMSTELVEEN ROOSENDAAL PURMEREND OSS SCHIEDAM SPIJKENISSE HELMOND VLAARDINGEN ALMELO GOUDA ZAANDAM LELYSTAD DELFSHAVEN ALPHEN+AAN+DEN+RIJN HOORN EDE BERGEN+OP+ZOOM ASSEN MIDDELBURG
MAASTRICHT 214.884 198.119 230.651 179.811 90.09 127.912 336.411 215.36 147.156 133.921 239.814 227.733 167.033 238.503 197.462 197.565 126.37 224.286 0.0 221.973 182.824 218.995 230.154 208.671 217.055 251.233 25.052 76.029 322.034 193.891 249.868 207.494 172.247 230.292 142.287 208.928 210.083 84.077 208.153 250.632 209.493 229.815 238.272 200.696 206.013 254.802 174.514 144.61 305.945 187.044
LEIDEN 42.677 35.536 22.671 58.933 133.862 115.39 218.793 69.92 89.173 128.816 197.851 42.075 110.204 53.388 78.978 124.992 98.136 27.334 221.973 0.0 67.508 13.311 143.718 141.505 24.255 65.0 222.344 190.953 173.3 63.393 182.701 37.466 101.906 61.005 111.919 36.57 46.258 144.637 36.024 183.465 43.056 52.178 94.1 37.071 21.128 77.165 94.741 102.081 219.51 127.6
DORDRECHT 94.078 25.619 54.03 58.951 94.669 61.396 241.157 94.5 35.178 95.219 191.847 105.726 99.879 117.697 76.602 118.989 64.904 90.985 182.824 67.508 0.0 52.022 141.173 138.959 46.955 130.259 184.225 152.835 213.289 74.04 180.156 87.849 45.769 110.647 78.437 36.766 37.89 111.155 35.96 180.92 42.674 110.17 118.421 28.632 56.509 135.157 92.466 54.921 216.964 112.92
ZOETERMEER 52.809 29.069 16.404 55.955 130.885 102.756 228.926 80.052 76.538 125.838 191.246 52.208 107.226 63.52 76.0 118.387 95.158 37.466 218.995 13.311 52.022 0.0 140.566 138.352 18.938 76.058 219.192 187.801 184.358 73.433 179.549 48.524 87.523 72.063 108.767 31.269 40.957 141.485 30.723 180.313 22.887 63.236 105.158 31.754 25.465 88.223 91.589 96.78 216.358 122.299
ZWOLLE 111.896 145.571 152.98 89.199 147.459 161.396 104.799 75.411 154.835 103.459 74.504 132.534 68.135 131.999 69.43 41.937 130.223 128.978 230.154 143.718 141.173 140.566 0.0 34.214 155.572 145.292 232.567 161.663 92.424 84.899 65.221 113.141 179.5 122.9 117.089 149.912 165.343 149.791 155.109 58.613 131.015 122.423 49.585 150.888 127.535 95.031 80.733 197.697 76.336 255.697
DEVENTER 109.394 143.358 150.766 86.986 125.976 140.014 124.699 98.08 152.621 81.977 62.078 130.032 46.652 129.497 67.217 17.757 108.74 126.476 208.671 141.505 138.959 138.352 34.214 0.0 152.764 142.211 209.738 138.834 122.395 81.818 51.781 110.06 176.693 119.819 94.259 147.105 162.535 126.962 152.301 52.544 128.207 119.342 81.349 148.08 124.728 144.329 52.023 194.89 95.601 252.889
DELFT 63.075 15.772 11.689 71.01 128.9 95.626 239.191 90.318 69.409 132.148 206.301 62.473 122.281 73.786 91.055 133.442 101.833 47.732 217.055 24.255 46.955 18.938 155.572 152.764 0.0 86.608 217.767 186.377 194.907 87.998 194.114 59.073 79.311 82.613 115.923 16.293 25.981 144.51 15.747 194.878 36.348 73.785 115.707 17.7 37.415 98.773 106.155 81.803 230.923 107.323
ALKMAAR 42.66 97.121 84.257 88.385 163.123 151.811 174.105 67.817 145.25 158.076 195.748 32.003 133.226 24.122 84.499 122.889 127.396 42.078 251.233 65.0 130.259 76.058 145.292 142.211 86.608 0.0 255.474 224.084 110.68 70.594 186.037 50.27 166.91 26.903 145.049 101.575 111.263 177.767 101.029 186.801 108.061 30.052 74.568 102.076 69.574 25.955 112.417 167.085 199.798 192.605
HEERLEN 215.838 199.074 231.605 180.765 91.044 128.866 337.366 216.314 148.111 134.875 240.768 228.687 167.987 239.457 198.416 198.519 127.324 225.24 25.052 222.344 184.225 219.192 232.567 209.738 217.767 255.474 0.0 77.435 323.44 195.297 251.274 208.901 173.653 231.698 143.693 210.334 211.489 85.483 209.559 252.038 210.899 231.221 239.678 202.102 207.419 256.208 175.92 163.119 307.351 205.553
VENLO 181.891 167.683 200.215 149.375 59.56 97.476 266.462 170.577 116.72 63.971 160.032 197.297 97.083 201.994 139.714 127.616 95.934 193.85 76.029 190.953 152.835 187.801 161.663 138.834 186.377 224.084 77.435 0.0 250.561 155.411 170.673 178.569 143.322 193.412 89.882 180.003 181.158 47.451 179.227 179.159 180.567 192.935 192.513 171.771 177.088 217.922 103.041 160.23 234.473 218.375
LEEUWARDEN 140.913 205.421 192.556 159.292 239.339 233.513 64.621 126.4 226.952 195.339 161.282 140.505 160.015 137.167 156.077 133.817 209.305 155.852 322.034 173.3 213.289 184.358 92.424 122.395 194.907 110.68 323.44 250.561 0.0 145.712 151.073 144.945 250.212 116.102 209.142 207.61 217.298 241.844 207.064 142.55 201.726 128.004 98.738 208.111 175.609 100.267 172.786 268.409 82.003 326.408
HILVERSUM 35.148 78.438 85.847 20.042 105.781 94.263 175.039 31.128 87.702 100.189 135.354 49.411 72.832 55.251 24.106 62.495 70.055 45.964 193.891 63.393 74.04 73.433 84.899 81.818 87.998 70.594 195.297 155.411 145.712 0.0 124.2 28.746 111.537 47.334 84.545 81.949 97.38 117.262 87.145 124.963 63.051 46.857 52.217 82.924 59.572 71.845 50.58 129.734 161.297 187.733
HENGELO 150.591 184.554 191.963 128.182 167.173 181.211 137.998 139.276 193.818 123.174 9.222 171.228 87.849 170.694 108.414 64.175 149.937 167.672 249.868 182.701 180.156 179.549 65.221 51.781 194.114 186.037 251.274 170.673 151.073 124.2 0.0 152.834 219.466 162.592 137.033 189.878 205.309 169.736 195.075 20.79 170.981 162.115 124.122 190.854 167.501 187.102 94.796 237.663 107.757 295.662
AMSTELVEEN 13.439 69.587 56.722 44.647 119.384 108.072 184.539 35.666 101.511 114.338 163.597 23.484 95.932 31.597 52.348 90.738 83.658 20.036 207.494 37.466 87.849 48.524 113.141 110.06 59.073 50.27 208.901 178.569 144.945 28.746 152.834 0.0 124.917 37.539 97.871 71.794 81.483 130.589 71.248 154.453 69.785 28.711 62.687 72.296 39.794 53.699 80.07 137.305 190.787 162.825
ROOSENDAAL 132.46 60.617 88.428 97.333 84.092 54.499 279.539 132.882 24.601 119.896 230.23 140.124 138.68 156.079 114.984 157.371 75.078 125.382 172.247 101.906 45.769 87.523 179.5 176.693 79.311 166.91 173.653 143.322 250.212 111.537 219.466 124.917 0.0 147.956 93.114 70.827 71.682 99.97 69.751 218.229 76.736 147.479 155.73 62.327 90.57 172.466 129.775 17.558 254.273 75.558
PURMEREND 19.788 93.126 80.262 65.534 142.182 130.87 180.143 45.424 124.309 138.19 173.355 41.128 110.833 24.873 62.107 100.496 106.455 43.558 230.292 61.005 110.647 72.063 122.9 119.819 82.613 26.903 231.698 193.412 116.102 47.334 162.592 37.539 147.956 0.0 121.472 95.656 105.344 154.19 95.11 163.897 102.142 16.05 72.131 96.157 63.655 20.356 89.513 161.166 205.609 186.686
OSS 105.414 94.311 121.181 70.341 46.45 53.886 221.887 105.89 69.468 34.661 147.796 118.263 52.509 129.033 87.991 83.041 22.611 114.815 142.287 111.919 78.437 108.767 117.089 94.259 115.923 145.049 143.693 89.882 209.142 84.545 137.033 97.871 93.114 121.472 0.0 105.021 106.146 47.659 104.215 136.926 99.033 119.356 127.813 96.887 95.554 144.343 60.808 111.203 192.24 169.202
SCHIEDAM 75.39 6.301 23.092 65.351 120.773 87.499 249.951 103.295 61.282 121.959 200.642 74.788 116.622 86.101 85.396 127.783 91.644 60.047 208.928 36.57 36.766 31.269 149.912 147.105 16.293 101.575 210.334 180.003 207.61 81.949 189.878 71.794 70.827 95.656 105.021 0.0 18.686 136.469 8.452 189.553 28.308 86.153 127.054 5.043 42.142 111.14 100.83 74.509 225.598 100.028
SPIJKENISSE 85.078 23.669 32.78 80.781 121.928 88.655 261.194 112.321 62.437 123.083 216.072 84.476 127.743 95.789 100.826 143.213 92.768 69.735 210.083 46.258 37.89 40.957 165.343 162.535 25.981 111.263 211.489 181.158 217.298 97.38 205.309 81.483 71.682 105.344 106.146 18.686 0.0 138.693 15.054 204.802 43.557 96.531 138.453 21.369 60.161 121.518 116.079 71.827 240.847 80.887
HELMOND 138.131 125.816 153.899 103.059 14.024 55.608 254.59 138.608 74.853 65.392 180.499 150.981 85.211 161.751 120.709 115.744 41.163 147.533 84.077 144.637 111.155 141.485 149.791 126.962 144.51 177.767 85.483 47.451 241.844 117.262 169.736 130.589 99.97 154.19 47.659 136.469 138.693 0.0 135.584 169.177 132.497 152.819 161.276 128.128 129.018 177.806 93.06 116.586 224.491 174.586
VLAARDINGEN 74.844 13.435 22.546 70.547 119.997 86.724 250.96 102.087 60.506 121.153 205.838 74.242 125.812 85.555 90.592 132.979 90.838 59.501 208.153 36.024 35.96 30.723 155.109 152.301 15.747 101.029 209.559 179.227 207.064 87.145 195.075 71.248 69.751 95.11 104.215 8.452 15.054 135.584 0.0 194.415 33.17 86.364 131.916 10.981 47.004 111.352 105.691 70.011 230.459 95.531
ALMELO 151.355 185.318 192.727 128.946 167.937 181.975 115.786 140.04 194.582 123.937 31.554 171.992 88.613 171.457 109.177 64.938 150.701 168.436 250.632 183.465 180.92 180.313 58.613 52.544 194.878 186.801 252.038 179.159 142.55 124.963 20.79 154.453 218.229 163.897 136.926 189.553 204.802 169.177 194.415 0.0 170.722 161.857 108.395 190.595 167.243 186.844 94.538 237.405 85.928 295.404
GOUDA 77.327 24.073 35.301 46.453 121.382 93.408 231.053 84.397 67.19 116.336 181.744 81.274 97.724 92.587 66.498 108.885 85.656 66.533 209.493 43.056 42.674 22.887 131.015 128.207 36.348 108.061 210.899 180.567 201.726 63.051 170.981 69.785 76.736 102.142 99.033 28.308 43.557 132.497 33.17 170.722 0.0 68.077 105.017 31.458 16.554 93.064 78.792 87.5 203.56 145.5
ZAANDAM 19.791 84.299 71.434 65.057 141.705 130.393 192.044 44.947 123.832 137.713 172.878 32.3 110.356 14.709 61.63 100.02 105.979 34.73 229.815 52.178 110.17 63.236 122.423 119.342 73.785 30.052 231.221 192.935 128.004 46.857 162.115 28.711 147.479 16.05 119.356 86.153 96.531 152.819 86.364 161.857 68.077 0.0 70.763 85.835 53.333 31.816 88.146 150.844 198.862 176.364
LELYSTAD 59.589 122.819 113.356 64.423 150.162 138.644 128.064 31.531 132.083 137.292 134.886 80.226 109.935 79.691 61.208 58.805 114.436 76.67 238.272 94.1 118.421 105.158 49.585 81.349 115.707 74.568 239.678 192.513 98.738 52.217 124.122 62.687 155.73 72.131 127.813 127.054 138.453 161.276 131.916 108.395 105.017 70.763 0.0 126.973 103.621 48.145 88.36 173.783 126.596 231.782
DELFSHAVEN 75.891 3.993 26.348 66.326 112.541 79.268 250.926 104.27 53.05 113.825 201.617 75.289 117.597 86.602 86.371 128.758 83.51 60.548 200.696 37.071 28.632 31.754 150.888 148.08 17.7 102.076 202.102 171.771 208.111 82.924 190.854 72.296 62.327 96.157 96.887 5.043 21.369 128.128 10.981 190.595 31.458 85.835 126.973 0.0 42.427 110.133 101.114 62.3 225.882 120.3
ALPHEN+AAN+DEN+RIJN 43.389 37.907 35.064 42.974 117.903 106.591 227.574 70.632 81.025 112.856 178.265 42.787 94.245 54.1 63.019 105.406 82.177 28.046 206.013 21.128 56.509 25.465 127.535 124.728 37.415 69.574 207.419 177.088 175.609 59.572 167.501 39.794 90.57 63.655 95.554 42.142 60.161 129.018 47.004 167.243 16.554 53.333 103.621 42.427 0.0 78.95 78.901 98.608 203.669 156.608
HOORN 44.778 109.286 96.421 90.045 166.692 155.38 164.307 69.935 148.819 162.7 197.866 57.287 135.344 41.033 86.617 125.007 130.966 59.717 254.802 77.165 135.157 88.223 95.031 144.329 98.773 25.955 256.208 217.922 100.267 71.845 187.102 53.699 172.466 20.356 144.343 111.14 121.518 177.806 111.352 186.844 93.064 31.816 48.145 110.133 78.95 0.0 116.967 179.665 190.997 205.185
EDE 76.971 96.595 104.003 49.494 91.819 105.857 185.531 65.656 106.128 47.82 105.559 97.609 19.995 97.074 34.794 32.245 74.583 94.052 174.514 94.741 92.466 91.589 80.733 52.023 106.155 112.417 175.92 103.041 172.786 50.58 94.796 80.07 129.775 89.513 60.808 100.83 116.079 93.06 105.691 94.538 78.792 88.146 88.36 101.114 78.901 116.967 0.0 147.812 156.438 205.811
BERGEN+OP+ZOOM 140.9 67.963 88.603 115.53 101.0 71.407 297.736 151.079 41.509 138.092 248.426 140.298 151.425 151.611 133.181 175.568 93.275 125.557 144.61 102.081 54.921 96.78 197.697 194.89 81.803 167.085 163.119 160.23 268.409 129.734 237.663 137.305 17.558 161.166 111.203 74.509 71.827 116.586 70.011 237.405 87.5 150.844 173.783 62.3 98.608 179.665 147.812 0.0 267.653 63.03
ASSEN 187.688 221.363 228.771 164.991 223.25 237.188 33.691 151.203 230.626 179.251 118.52 208.325 143.926 207.791 145.222 117.728 206.014 204.769 305.945 219.51 216.964 216.358 76.336 95.601 230.923 199.798 307.351 234.473 82.003 161.297 107.757 190.787 254.273 205.609 192.24 225.598 240.847 224.491 230.459 85.928 203.56 198.862 126.596 225.882 203.669 190.997 156.438 267.653 0.0 330.993
MIDDELBURG 166.42 125.962 114.122 173.53 158.999 129.406 355.735 209.079 99.508 196.092 306.426 165.818 209.425 177.131 191.18 233.567 151.274 151.077 187.044 127.6 112.92 122.299 255.697 252.889 107.323 192.605 205.553 218.375 326.408 187.733 295.662 162.825 75.558 186.686 169.202 100.028 80.887 174.586 95.531 295.404 145.5 176.364 231.782 120.3 156.608 205.185 205.811 63.03 330.993 0.0
